#    L    TT             EE             BB             TE             PP             TP             EP          
   193    0.52828E+04    0.64905E+00    0.00000E+00   -0.21394E+02    0.54913E-07    0.15381E-03   -0.43847E-06
   194    0.52979E+04    0.64406E+00    0.00000E+00   -0.20311E+02    0.54619E-07    0.15254E-03   -0.42299E-06
   195    0.53125E+04    0.63969E+00    0.00000E+00   -0.19205E+02    0.54327E-07    0.15128E-03   -0.40738E-06
   196    0.53265E+04    0.63596E+00    0.00000E+00   -0.18077E+02    0.54037E-07    0.15003E-03   -0.39168E-06
   197    0.53400E+04    0.63293E+00    0.00000E+00   -0.16927E+02    0.53750E-07    0.14879E-03   -0.37593E-06
   198    0.53531E+04    0.63062E+00    0.00000E+00   -0.15755E+02    0.53466E-07    0.14756E-03   -0.36015E-06
   199    0.53656E+04    0.62906E+00    0.00000E+00   -0.14561E+02    0.53183E-07    0.14634E-03   -0.34439E-06
   200    0.53776E+04    0.62828E+00    0.00000E+00   -0.13347E+02    0.52903E-07    0.14514E-03   -0.32868E-06
   201    0.53890E+04    0.62835E+00    0.00000E+00   -0.12111E+02    0.52626E-07    0.14394E-03   -0.31304E-06
   202    0.53999E+04    0.62926E+00    0.00000E+00   -0.10855E+02    0.52350E-07    0.14275E-03   -0.29749E-06
   203    0.54102E+04    0.63108E+00    0.00000E+00   -0.95784E+01    0.52077E-07    0.14157E-03   -0.28203E-06
   204    0.54199E+04    0.63382E+00    0.00000E+00   -0.82841E+01    0.51806E-07    0.14040E-03   -0.26665E-06
   205    0.54290E+04    0.63754E+00    0.00000E+00   -0.69698E+01    0.51537E-07    0.13924E-03   -0.25135E-06
   206    0.54375E+04    0.64226E+00    0.00000E+00   -0.56368E+01    0.51270E-07    0.13809E-03   -0.23613E-06
   207    0.54455E+04    0.64800E+00    0.00000E+00   -0.42855E+01    0.51006E-07    0.13695E-03   -0.22099E-06
   208    0.54528E+04    0.65483E+00    0.00000E+00   -0.29164E+01    0.50743E-07    0.13581E-03   -0.20594E-06
   209    0.54594E+04    0.66275E+00    0.00000E+00   -0.15299E+01    0.50483E-07    0.13469E-03   -0.19096E-06
   210    0.54655E+04    0.67182E+00    0.00000E+00   -0.12689E+00    0.50225E-07    0.13357E-03   -0.17607E-06
   211    0.54710E+04    0.68207E+00    0.00000E+00    0.12926E+01    0.49969E-07    0.13246E-03   -0.16126E-06
   212    0.54757E+04    0.69352E+00    0.00000E+00    0.27276E+01    0.49715E-07    0.13137E-03   -0.14652E-06
   213    0.54800E+04    0.70622E+00    0.00000E+00    0.41783E+01    0.49463E-07    0.13027E-03   -0.13187E-06
   214    0.54835E+04    0.72016E+00    0.00000E+00    0.56433E+01    0.49213E-07    0.12919E-03   -0.11729E-06
   215    0.54865E+04    0.73553E+00    0.00000E+00    0.71220E+01    0.48965E-07    0.12812E-03   -0.10279E-06
   216    0.54889E+04    0.75215E+00    0.00000E+00    0.86148E+01    0.48719E-07    0.12705E-03   -0.88370E-07
   217    0.54907E+04    0.77016E+00    0.00000E+00    0.10120E+02    0.48474E-07    0.12600E-03   -0.74026E-07
   218    0.54919E+04    0.78958E+00    0.00000E+00    0.11637E+02    0.48232E-07    0.12495E-03   -0.59758E-07
   219    0.54924E+04    0.81039E+00    0.00000E+00    0.13168E+02    0.47992E-07    0.12391E-03   -0.45567E-07
   220    0.54924E+04    0.83274E+00    0.00000E+00    0.14708E+02    0.47754E-07    0.12288E-03   -0.31452E-07
   221    0.54918E+04    0.85656E+00    0.00000E+00    0.16259E+02    0.47517E-07    0.12185E-03   -0.17412E-07
   222    0.54907E+04    0.88199E+00    0.00000E+00    0.17820E+02    0.47283E-07    0.12084E-03   -0.34466E-08
   223    0.54888E+04    0.90897E+00    0.00000E+00    0.19391E+02    0.47050E-07    0.11983E-03    0.10444E-07
   224    0.54864E+04    0.93748E+00    0.00000E+00    0.20969E+02    0.46819E-07    0.11883E-03    0.24261E-07
   225    0.54834E+04    0.96768E+00    0.00000E+00    0.22556E+02    0.46590E-07    0.11784E-03    0.38004E-07
   226    0.54798E+04    0.99956E+00    0.00000E+00    0.24150E+02    0.46363E-07    0.11686E-03    0.51674E-07
   227    0.54756E+04    0.10331E+01    0.00000E+00    0.25751E+02    0.46138E-07    0.11588E-03    0.65272E-07
   228    0.54708E+04    0.10684E+01    0.00000E+00    0.27358E+02    0.45914E-07    0.11491E-03    0.78797E-07
   229    0.54654E+04    0.11054E+01    0.00000E+00    0.28969E+02    0.45692E-07    0.11395E-03    0.92250E-07
