#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   151    0.41511E+04   -0.43418E+02    0.14904E-05   -0.43418E+02    0.10175E+01   -0.47466E-08    0.14904E-05   -0.47466E-08    0.32496E-11
   152    0.41812E+04   -0.43407E+02    0.14669E-05   -0.43407E+02    0.10118E+01   -0.46486E-08    0.14669E-05   -0.46486E-08    0.31883E-11
   153    0.42112E+04   -0.43371E+02    0.14438E-05   -0.43371E+02    0.10058E+01   -0.45598E-08    0.14438E-05   -0.45598E-08    0.31284E-11
   154    0.42409E+04   -0.43312E+02    0.14211E-05   -0.43312E+02    0.99950E+00   -0.44797E-08    0.14211E-05   -0.44797E-08    0.30700E-11
   155    0.42704E+04   -0.43229E+02    0.13988E-05   -0.43229E+02    0.99280E+00   -0.44076E-08    0.13988E-05   -0.44076E-08    0.30129E-11
   156    0.42996E+04   -0.43123E+02    0.13769E-05   -0.43123E+02    0.98574E+00   -0.43430E-08    0.13769E-05   -0.43430E-08    0.29571E-11
   157    0.43287E+04   -0.42991E+02    0.13554E-05   -0.42991E+02    0.97834E+00   -0.42852E-08    0.13554E-05   -0.42852E-08    0.29027E-11
   158    0.43575E+04   -0.42835E+02    0.13344E-05   -0.42835E+02    0.97066E+00   -0.42336E-08    0.13344E-05   -0.42336E-08    0.28495E-11
   159    0.43859E+04   -0.42655E+02    0.13137E-05   -0.42655E+02    0.96255E+00   -0.41876E-08    0.13137E-05   -0.41876E-08    0.27976E-11
   160    0.44142E+04   -0.42448E+02    0.12934E-05   -0.42448E+02    0.95416E+00   -0.41465E-08    0.12934E-05   -0.41465E-08    0.27468E-11
   161    0.44423E+04   -0.42217E+02    0.12735E-05   -0.42217E+02    0.94557E+00   -0.41098E-08    0.12735E-05   -0.41098E-08    0.26973E-11
   162    0.44700E+04   -0.41962E+02    0.12540E-05   -0.41962E+02    0.93663E+00   -0.40767E-08    0.12540E-05   -0.40767E-08    0.26490E-11
   163    0.44976E+04   -0.41681E+02    0.12348E-05   -0.41681E+02    0.92741E+00   -0.40468E-08    0.12348E-05   -0.40468E-08    0.26017E-11
   164    0.45248E+04   -0.41375E+02    0.12160E-05   -0.41375E+02    0.91798E+00   -0.40194E-08    0.12160E-05   -0.40194E-08    0.25556E-11
   165    0.45518E+04   -0.41043E+02    0.11975E-05   -0.41043E+02    0.90828E+00   -0.39938E-08    0.11975E-05   -0.39938E-08    0.25105E-11
   166    0.45785E+04   -0.40685E+02    0.11794E-05   -0.40685E+02    0.89844E+00   -0.39694E-08    0.11794E-05   -0.39694E-08    0.24665E-11
   167    0.46050E+04   -0.40303E+02    0.11617E-05   -0.40303E+02    0.88826E+00   -0.39457E-08    0.11617E-05   -0.39457E-08    0.24234E-11
   168    0.46310E+04   -0.39895E+02    0.11443E-05   -0.39895E+02    0.87809E+00   -0.39219E-08    0.11443E-05   -0.39219E-08    0.23814E-11
   169    0.46567E+04   -0.39459E+02    0.11272E-05   -0.39459E+02    0.86764E+00   -0.38976E-08    0.11272E-05   -0.38976E-08    0.23403E-11
   170    0.46822E+04   -0.38999E+02    0.11105E-05   -0.38999E+02    0.85713E+00   -0.38720E-08    0.11105E-05   -0.38720E-08    0.23001E-11
   171    0.47071E+04   -0.38511E+02    0.10940E-05   -0.38511E+02    0.84657E+00   -0.38445E-08    0.10940E-05   -0.38445E-08    0.22609E-11
   172    0.47317E+04   -0.37998E+02    0.10779E-05   -0.37998E+02    0.83588E+00   -0.38146E-08    0.10779E-05   -0.38146E-08    0.22225E-11
   173    0.47559E+04   -0.37458E+02    0.10621E-05   -0.37458E+02    0.82506E+00   -0.37815E-08    0.10621E-05   -0.37815E-08    0.21849E-11
   174    0.47797E+04   -0.36893E+02    0.10466E-05   -0.36893E+02    0.81440E+00   -0.37448E-08    0.10466E-05   -0.37448E-08    0.21481E-11
   175    0.48032E+04   -0.36301E+02    0.10315E-05   -0.36301E+02    0.80361E+00   -0.37037E-08    0.10315E-05   -0.37037E-08    0.21121E-11
   176    0.48261E+04   -0.35682E+02    0.10166E-05   -0.35682E+02    0.79292E+00   -0.36578E-08    0.10166E-05   -0.36578E-08    0.20768E-11
