#    L    TT             EE             TE             PP             TP          
   255    0.51209E+04    0.27522E+01    0.70446E+02    0.18741E+07    0.15581E+04
   256    0.51005E+04    0.28440E+01    0.71937E+02    0.18657E+07    0.15449E+04
   257    0.50797E+04    0.29377E+01    0.73407E+02    0.18574E+07    0.15319E+04
   258    0.50583E+04    0.30338E+01    0.74870E+02    0.18492E+07    0.15190E+04
   259    0.50366E+04    0.31320E+01    0.76309E+02    0.18410E+07    0.15062E+04
   260    0.50144E+04    0.32323E+01    0.77741E+02    0.18328E+07    0.14935E+04
   261    0.49918E+04    0.33348E+01    0.79144E+02    0.18247E+07    0.14809E+04
   262    0.49686E+04    0.34396E+01    0.80538E+02    0.18167E+07    0.14684E+04
   263    0.49453E+04    0.35464E+01    0.81917E+02    0.18087E+07    0.14560E+04
   264    0.49215E+04    0.36554E+01    0.83274E+02    0.18008E+07    0.14437E+04
   265    0.48971E+04    0.37665E+01    0.84601E+02    0.17929E+07    0.14315E+04
   266    0.48724E+04    0.38799E+01    0.85920E+02    0.17851E+07    0.14194E+04
   267    0.48472E+04    0.39952E+01    0.87210E+02    0.17774E+07    0.14074E+04
   268    0.48217E+04    0.41129E+01    0.88484E+02    0.17697E+07    0.13954E+04
   269    0.47957E+04    0.42325E+01    0.89736E+02    0.17620E+07    0.13836E+04
   270    0.47694E+04    0.43543E+01    0.90966E+02    0.17544E+07    0.13719E+04
   271    0.47427E+04    0.44780E+01    0.92173E+02    0.17468E+07    0.13602E+04
   272    0.47158E+04    0.46040E+01    0.93351E+02    0.17393E+07    0.13486E+04
   273    0.46885E+04    0.47318E+01    0.94514E+02    0.17319E+07    0.13372E+04
   274    0.46609E+04    0.48618E+01    0.95639E+02    0.17245E+07    0.13258E+04
   275    0.46329E+04    0.49936E+01    0.96750E+02    0.17171E+07    0.13145E+04
   276    0.46047E+04    0.51275E+01    0.97824E+02    0.17098E+07    0.13033E+04
   277    0.45761E+04    0.52633E+01    0.98883E+02    0.17026E+07    0.12921E+04
   278    0.45472E+04    0.54011E+01    0.99905E+02    0.16953E+07    0.12811E+04
   279    0.45181E+04    0.55407E+01    0.10090E+03    0.16882E+07    0.12701E+04
   280    0.44887E+04    0.56821E+01    0.10187E+03    0.16811E+07    0.12592E+04
   281    0.44592E+04    0.58255E+01    0.10282E+03    0.16740E+07    0.12484E+04
   282    0.44292E+04    0.59705E+01    0.10373E+03    0.16670E+07    0.12377E+04
